,ID1,ID2,Similarity,comp1,comp2,comprop1,comprop2,prop,SET,data
0,0,159,0.5,<freesolv>|C(Br)Br,<freesolv>|C(CBr)Br,-1.96,-2.33,0.3700000000000001,train,freesolv
1,1,446,0.5333333333333333,<freesolv>|C(C(Cl)(Cl)Cl)Cl,<freesolv>|C(Cl)(Cl)(Cl)Cl,-1.43,0.08,-1.51,train,freesolv
2,2,290,0.3076923076923077,<freesolv>|C[C@H]1CCCO1,<freesolv>|CC1CCCC1,-3.3,1.59,-4.89,train,freesolv
3,3,252,0.7368421052631579,<freesolv>|C1CC=CC1,<freesolv>|C1CCC=CC1,0.56,0.14,0.42000000000000004,train,freesolv
4,4,446,0.47058823529411764,<freesolv>|C(C(Cl)(Cl)Cl)(Cl)Cl,<freesolv>|C(Cl)(Cl)(Cl)Cl,-1.23,0.08,-1.31,train,freesolv
5,5,482,0.88,<freesolv>|CCCCCCCN,<freesolv>|CCCCCCCCN,-3.79,-3.65,-0.14000000000000012,train,freesolv
6,6,348,0.5,<freesolv>|CC(C)C,<freesolv>|CC(C)C(C)C,2.3,2.34,-0.040000000000000036,train,freesolv
7,7,478,0.8421052631578947,<freesolv>|CCCCCC,<freesolv>|CCCCCCC,2.48,2.67,-0.18999999999999995,train,freesolv
8,8,365,0.46511627906976744,<freesolv>|c1cc(cc(c1)C(F)(F)F)C(F)(F)F,<freesolv>|c1ccc(cc1)C(F)(F)F,1.07,-0.25,1.32,train,freesolv
9,9,342,0.8636363636363636,<freesolv>|CCCCCCCl,<freesolv>|CCCCCCCCl,0.0,0.29,-0.29,train,freesolv
10,10,49,0.6296296296296297,<freesolv>|c1ccc2c(c1)Oc3cccc(c3O2)Cl,<freesolv>|c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.52,-3.1,-0.41999999999999993,train,freesolv
11,11,75,0.36363636363636365,<freesolv>|C=CCl,<freesolv>|C=CCCl,-0.59,-0.57,-0.020000000000000018,train,freesolv
